id,y,y_pred,neuron
180,0.45,0.0,29
180,3.3,2.16652,30
180,0.9,0.0,31
180,0.9,0.0,32
180,0.4,0.0494631,33
180,2.6,2.20127,34
180,0.45,0.0,35
180,2.0,1.09998,36
220,2.55,3.17729,0
220,0.85,2.4879,1
220,3.25,4.07389,2
220,0.3,0.0457101,3
220,3.15,5.5256,4
220,1.0,1.27769,5
220,1.25,0.926541,6
220,1.1,1.40952,7
220,7.15,5.49732,8
220,4.25,4.7427,9
220,2.65,3.6654,10
220,1.9,2.21048,11
220,4.15,4.82806,12
220,1.85,2.50254,13
220,2.85,3.61442,14
220,2.65,2.24031,15
220,2.25,2.84904,16
220,0.15,1.43373,17
220,3.55,6.23881,18
220,2.85,1.92796,19
220,1.45,2.81543,20
220,2.95,5.13281,21
220,6.3,6.17672,22
220,0.75,1.08862,23
220,2.45,0.0,24
220,2.2,2.95107,25
220,5.05,5.16545,26
220,0.85,1.38458,27
220,4.9,5.19999,28
220,0.6,0.0,29
220,2.75,3.30045,30
220,1.55,0.0,31
220,0.95,0.0,32
220,0.3,0.666211,33
220,3.4,3.41954,34
220,0.45,0.0,35
220,1.3,1.38146,36
318,1.55,3.03769,0
318,1.0,2.3975,1
318,4.05,4.027,2
318,0.3,0.429191,3
318,13.3,8.17727,4
318,3.2,2.49192,5
318,0.35,1.00106,6
318,2.2,3.38019,7
318,4.95,4.50286,8
318,3.35,4.95148,9
318,2.65,4.06607,10
318,1.6,3.32903,11
318,6.3,6.89715,12
318,2.5,2.75886,13
318,4.35,3.90513,14
318,2.2,3.43514,15
318,1.15,3.14534,16
318,0.4,1.20887,17
318,5.3,6.30581,18
318,2.1,2.00044,19
318,7.05,4.60608,20
318,8.85,7.68905,21
318,1.2,3.85778,22
318,0.85,1.77976,23
318,2.9,0.0,24
318,1.45,3.01064,25
318,3.6,5.32262,26
318,1.1,1.93975,27
318,4.8,5.00772,28
318,1.05,0.0,29
318,4.9,4.18015,30
318,1.3,0.0,31
318,1.9,0.0,32
318,1.05,0.260874,33
318,2.1,3.51337,34
318,1.0,0.0,35
318,1.95,1.63189,36
372,1.2,2.52058,0
372,1.0,2.32839,1
372,3.75,1.94764,2
372,0.3,0.256386,3
372,5.9,5.75814,4
372,1.25,1.13999,5
372,0.25,0.606321,6
372,0.65,1.48757,7
372,3.95,3.8881,8
372,2.65,4.27804,9
372,3.85,2.7222,10
372,2.15,2.11589,11
372,1.7,2.22751,12
372,2.2,2.11339,13
372,3.0,2.60171,14
372,4.55,2.46839,15
372,0.55,2.33901,16
372,0.2,1.49806,17
372,3.95,2.84372,18
372,2.0,1.581,19
372,3.25,3.00227,20
372,4.45,3.82038,21
372,1.0,2.26862,22
372,0.65,1.07543,23
372,0.5,0.0,24
372,1.45,2.93745,25
372,5.05,3.85681,26
372,0.3,1.00904,27
372,2.35,2.95194,28
372,0.95,0.0,29
372,2.5,2.12498,30
372,1.15,0.0,31
372,1.15,0.0,32
372,1.0,0.879182,33
372,4.4,2.96751,34
372,0.45,0.0,35
372,1.75,1.25433,36
488,2.0,1.63285,0
488,1.45,1.07855,1
488,2.3,1.28506,2
488,0.4,0.31094,3
488,8.85,6.42637,4
488,3.8,1.12646,5
